experiment_id,task,primary_change,test_accuracy,test_loss,trainable_params,training_time_seconds
DNN_01_BASELINE,1,single hidden dense layer,0.8575000166893005,0.3975064754486084,101770,9.34376417799649
DNN_02_DEEPER,1,adds second dense layer,0.8623999953269958,0.37980565428733826,235146,15.858213460000115
DNN_03_TUNED,1,adds dropout regularization,0.8683000206947327,0.36624836921691895,235146,13.05164260899619
CNN_01_BASELINE,2,baseline convolutional model,0.9047999978065491,0.2650856077671051,421642,166.07639909900172
CNN_02_MORE_FILTERS,2,increases convolution filters,0.8995000123977661,0.27329379320144653,878730,284.4472885139985
CNN_03_DEEPER,2,adds convolutional depth,0.9103999733924866,0.24674923717975616,266410,408.59966956400604
CNN_04_TUNED_FINALIST,2,adds batch normalization and dropout,0.9185000061988831,0.233476921916008,266794,488.1191247780007
OPT_01_FINAL_CNN_ADAM,3,fixed finalist architecture with Adam 0.001,0.9185000061988831,0.233476921916008,266794,475.79426218700246
OPT_02_FINAL_CNN_SGD,3,fixed finalist architecture with SGD momentum,0.9100000262260437,0.24198193848133087,266794,470.22429601200565
OPT_03_FINAL_CNN_ADAM_LOW_LR,3,fixed finalist architecture with lower Adam learning rate,0.9204999804496765,0.22281140089035034,266794,467.3419119320024
