class_name,precision,recall,f1-score,support
T-shirt/top,0.8844580777096115,0.865,0.8746208291203236,1000.0
Trouser,0.9969512195121951,0.981,0.9889112903225806,1000.0
Pullover,0.8548387096774194,0.901,0.8773125608568647,1000.0
Dress,0.8915094339622641,0.945,0.9174757281553398,1000.0
Coat,0.9042904290429042,0.822,0.861183865898376,1000.0
Sandal,0.9860279441117764,0.988,0.987012987012987,1000.0
Shirt,0.7743538767395626,0.779,0.7766699900299102,1000.0
Sneaker,0.9436485195797517,0.988,0.9653150952613582,1000.0
Bag,0.9841112214498511,0.991,0.9875435974090684,1000.0
Ankle boot,0.9916054564533053,0.945,0.9677419354838709,1000.0
accuracy,0.9205,0.9205,0.9205,0.9205
macro avg,0.9211794888238641,0.9205,0.9203787879550678,10000.0
weighted avg,0.9211794888238642,0.9205,0.920378787955068,10000.0
